Period	c1	c2	c3	c4	c5	H	c6	c7	c8	tau	sigma	periods
PGA	1.01092368	0.382205483	0	-1.163409476	0.172161441	1.51841055	-0.190748323	0.132215573	-0.474063338	0.325627801	0.536292796	PGA
T0_010S	1.020882736	0.382205483	-0.000307038	-1.163278717	0.172161441	1.51841055	-0.19222938	0.131449521	-0.473763512	0.326055781	0.536001652	0.01
T0_020S	1.041625746	0.382205483	0.001680337	-1.16677296	0.172161441	1.51841055	-0.194192592	0.131149914	-0.470015028	0.327849143	0.534911546	0.02
T0_030S	1.196121738	0.382205483	0.003787966	-1.202816311	0.172161441	1.51841055	-0.19899926	0.131393616	-0.474130299	0.340312956	0.541864146	0.03
T0_040S	1.383390295	0.382205483	0.008678825	-1.249930715	0.172161441	1.51841055	-0.195864343	0.13615889	-0.480630944	0.354619606	0.550613392	0.04
T0_050S	1.561195444	0.382205483	0.015346387	-1.295697079	0.172161441	1.51841055	-0.192213761	0.141735986	-0.491119168	0.366714138	0.560736877	0.05
T0_060S	1.690744076	0.382205483	0.020999504	-1.321795612	0.172161441	1.51841055	-0.198370936	0.149954275	-0.490016415	0.370176379	0.571828033	0.06
T0_070S	1.767318225	0.382205483	0.026117518	-1.333642496	0.172161441	1.51841055	-0.201117355	0.155696375	-0.491989013	0.376249967	0.580044145	0.07
T0_080S	1.868941528	0.382205483	0.027311996	-1.34399819	0.172161441	1.51841055	-0.194661712	0.162680816	-0.494417773	0.377436547	0.588667564	0.08
T0_090S	1.942976539	0.382205483	0.027567659	-1.34348066	0.172161441	1.51841055	-0.20114939	0.158943504	-0.491029671	0.377630302	0.589435577	0.09
T0_100S	2.021843892	0.382205483	0.025378324	-1.340939423	0.172161441	1.51841055	-0.181678881	0.160698561	-0.48249256	0.383417248	0.591092733	0.1
T0_150S	2.052064348	0.382205483	0.009964309	-1.257775939	0.172161441	1.51841055	-0.185071727	0.121186121	-0.480388101	0.373390484	0.581228692	0.15
T0_200S	2.033301051	0.382205483	-0.009122642	-1.176937191	0.172161441	1.51841055	-0.226502399	0.099859925	-0.435035945	0.360419639	0.571547911	0.2
T0_250S	1.988747949	0.382205483	-0.02931438	-1.115348083	0.172161441	1.51841055	-0.235548231	0.099399551	-0.410068461	0.366351426	0.571456889	0.25
T0_300S	1.882720538	0.382205483	-0.045937066	-1.072637159	0.172161441	1.51841055	-0.21627222	0.103633872	-0.436127312	0.37193051	0.576843983	0.3
T0_350S	1.745906988	0.382205483	-0.060028156	-1.030747213	0.172161441	1.51841055	-0.194919834	0.102880915	-0.450656969	0.386709827	0.573940878	0.35
T0_400S	1.682074766	0.382205483	-0.073658427	-1.011618756	0.172161441	1.51841055	-0.195471791	0.109913535	-0.4734224	0.39899687	0.569555764	0.4
T0_450S	1.6139317	0.382205483	-0.086126363	-0.993873628	0.172161441	1.51841055	-0.201063272	0.117769865	-0.492711643	0.405232539	0.569933075	0.45
T0_500S	1.528802979	0.382205483	-0.096025405	-0.975534206	0.172161441	1.51841055	-0.208873477	0.11420045	-0.503458921	0.407871729	0.568090727	0.5
T0_600S	1.308107836	0.382205483	-0.113300019	-0.940702515	0.172161441	1.51841055	-0.221167593	0.101564551	-0.55458042	0.409055115	0.573055897	0.6
T0_700S	1.138303033	0.382205483	-0.129181393	-0.919345219	0.172161441	1.51841055	-0.190016164	0.103625137	-0.603713954	0.422573078	0.57034408	0.7
T0_800S	1.075744154	0.382205483	-0.144246071	-0.916683464	0.172161441	1.51841055	-0.186452823	0.105771817	-0.631853	0.434151917	0.572254881	0.8
T0_900S	0.99347823	0.382205483	-0.157671838	-0.910376501	0.172161441	1.51841055	-0.164322563	0.116520434	-0.65766313	0.439525075	0.573551614	0.9
T1_000S	0.864220625	0.382205483	-0.168749147	-0.900113269	0.172161441	1.51841055	-0.150467919	0.137226026	-0.691583684	0.446893552	0.574097611	1
T1_500S	0.314990924	0.382205483	-0.200586887	-0.869563941	0.172161441	1.51841055	-0.037680667	0.157182802	-0.758182287	0.463778809	0.574324147	1.5
T2_000S	-0.175960238	0.382205483	-0.219018872	-0.832805225	0.172161441	1.51841055	0.07801742	0.165969959	-0.786287913	0.450185425	0.569627448	2
T2_500S	-0.410312266	0.382205483	-0.23185765	-0.841451464	0.172161441	1.51841055	0.090661703	0.164835779	-0.793917355	0.445531672	0.552063906	2.5
T3_000S	-0.501857277	0.382205483	-0.243147311	-0.868385096	0.172161441	1.51841055	0.119476356	0.179006263	-0.775427311	0.468416432	0.529601898	3
T3_500S	-0.720573693	0.382205483	-0.247862313	-0.868915997	0.172161441	1.51841055	0.120564333	0.162854757	-0.767264222	0.473737461	0.525585225	3.5
T4_000S	-0.938284759	0.382205483	-0.249329986	-0.861803329	0.172161441	1.51841055	0.126656112	0.126241166	-0.74567044	0.46887018	0.528531991	4
T4_400S	-1.040496848	0.382205483	-0.255932797	-0.847208782	0.172161441	1.51841055	0.165492529	0.148570219	-0.704196167	0.490283823	0.523855902	4.4
T5_000S	-1.369397812	0.382205483	-0.253493203	-0.828726266	0.172161441	1.51841055	0.220779298	0.164775686	-0.695531159	0.485800918	0.524043598	5
